amenities,wifi,furnished,Heat,Hydro,Water,pets,airConditioning,smoking,outdoorSpace,squareFootage,parkingAvailability,leasePeriod,bedrooms,bathrooms,buildingType,rent,location,laundry,dishwasher,fridge
,,No,,,,Yes,No,No,Yard;;,1;129,0,1 Year,2,1,Apartment,$2549,221 Glenforest Drive; Halifax; NS; B3M 1J3,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;;;Storage Space;Elevator in Building;,,No,Yes,No,Yes,Limited,No,No,;Balcony;,1;382,0,1 Year,2 + Den,2,Apartment,$2695,3807 Mont Blanc Terrace; Halifax; NS; B3K 6R9,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;;;;Bicycle Parking;;Elevator in Building;,,No,Yes,No,Yes,No,Yes,No,,Not Available,0,1 Year,2,2,Apartment,Please Contact,5670 Spring Garden Road; Halifax; NS; B3J 1H6,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;;;;Bicycle Parking;;Elevator in Building;,,No,Yes,No,Yes,No,Yes,No,;Balcony;,Not Available,0,1 Year,1 + Den,1,Apartment,Please Contact,230 Larry Uteck Blvd; Bedford; NS; B3N 0N1,Laundry (In Unit),Dishwasher,Fridge / Freezer
;Pool;;;Bicycle Parking;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,Yes,;Balcony;,Not Available,0,1 Year,Bachelor/Studio,1,Apartment,$1612,5415 Victoria Road; Halifax; NS; B3H 4K5,Laundry (In Building),,Fridge / Freezer
;Pool;;;Bicycle Parking;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,Yes,,Not Available,0,1 Year,1,1,Apartment,Please Contact,5415 Victoria Road; Halifax; NS; B3H 4K5,Laundry (In Building),,Fridge / Freezer
,,No,,,,Limited,No,Yes,,Not Available,0,1 Year,1,1,Apartment,Please Contact,1551 South Park Street; Halifax; NS; B3J 4B4,,,
;;;;;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,Yes,,Not Available,1,1 Year,2,1,Apartment,Please Contact,30 Ridgevalley Road; Halifax; NS; B3P 2J8,Laundry (In Building),,Fridge / Freezer
;;;;;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,Yes,,Not Available,0,1 Year,1 + Den,1,Apartment,Please Contact,5651 Ogilvie Street; Halifax; NS; B3H 1B9,Laundry (In Building),,Fridge / Freezer
;;;;Bicycle Parking;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,Yes,,Not Available,0,1 Year,2,1,Apartment,Please Contact,5651 Ogilvie Street; Halifax; NS; B3H 1B9,Laundry (In Building),,Fridge / Freezer
;;;;Bicycle Parking;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,Yes,,Not Available,0,1 Year,1,1,Apartment,Please Contact,5651 Ogilvie Street; Halifax; NS; B3H 1B9,Laundry (In Building),,Fridge / Freezer
;;;24 Hour Security;Bicycle Parking;Storage Space;;,,No,Yes,No,Yes,Yes,No,Yes,;Balcony;,Not Available,1,1 Year,2,1,Apartment,$2061,6969 Bayers Road; Halifax; NS; B3L 4P3,Laundry (In Building),,Fridge / Freezer
;;;;;;Elevator in Building;,,No,Yes,No,Yes,No,No,Yes,;Balcony;,1;200,1,1 Year,2,1,Apartment,$2096,6969 Bayers Road; Halifax; NS; B3L 4P3,Laundry (In Building),,Fridge / Freezer
,,No,Yes,No,Yes,No,No,No,Yard;;,550,1,1 Year,2,1,Basement,$1900,Halifax; NS B3N,Laundry (In Unit),,Fridge / Freezer
;;;;Bicycle Parking;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,Yes,,Not Available,0,1 Year,1,1,Apartment,Please Contact,5651 Ogilvie Street; Halifax; NS; B3H 1B9,Laundry (In Building),,Fridge / Freezer
;;;;;Storage Space;;,,No,Yes,No,Yes,Limited,No,Yes,,Not Available,1,1 Year,1,1,Apartment,$1839,85 Westgrove; 241 Willett Street; 235 Willett Street; Halifax; NS; B3M 3L7,Laundry (In Building),,Fridge / Freezer
Gym;;;;Bicycle Parking;;Elevator in Building;,,No,Yes,No,Yes,No,Yes,No,;Balcony;,Not Available,0,1 Year,1 + Den,1,Apartment,Please Contact,230 Larry Uteck Blvd; Bedford; NS; B3N 0N1,Laundry (In Unit),Dishwasher,Fridge / Freezer
;Pool;;;Bicycle Parking;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,Yes,,Not Available,0,1 Year,1,1,Apartment,Please Contact,5415 Victoria Road; Halifax; NS; B3H 4K5,Laundry (In Building),,Fridge / Freezer
;;;;;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,Yes,,Not Available,1,1 Year,2,1,Apartment,Please Contact,30 Ridgevalley Road; Halifax; NS; B3P 2J8,Laundry (In Building),,Fridge / Freezer
,,No,Yes,No,Yes,Limited,No,Yes,,Not Available,1,1 Year,1,1,Apartment,$1700,36 Abbey Road; Halifax; NS; B3P 2M6,Laundry (In Building),,Fridge / Freezer
;;;;;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,Yes,;Balcony;,Not Available,1,1 Year,2,1,Apartment,$2233,36 Abbey Road; Halifax; NS; B3P 2M6,Laundry (In Building),,Fridge / Freezer
,,No,No,No,Yes,Limited,No,No,,900,0,1 Year,1,1,Apartment,$1899,Inglis St; Halifax; B3H 1K4,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;;Bicycle Parking;Storage Space;;,,No,Yes,No,Yes,Limited,No,No,;Balcony;,900,0,1 Year,1,1,Apartment,$1829,Halifax; NS B3H 2K5,Laundry (In Building),,Fridge / Freezer
,,No,,,,No,Yes,No,Yard;Balcony;,Not Available,2,1 Year,3 + Den,1,House,$1975,Frances Court; Halifax; NS; B3R 2R4,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,Yes,No,No,Yes,No,No,No,,Not Available,1,1 Year,1,1,Apartment,$2275,Bishop Street; Halifax; NS; B3J 1C9,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;;Bicycle Parking;Storage Space;;,,No,Yes,No,Yes,Limited,No,No,,600,0,1 Year,1,1,Apartment,$1850,Wellington Street; Halifax; NS,Laundry (In Building),,
,Cable / TV;Internet;,Yes,Yes,Yes,Yes,No,Yes,No,Yard;;,930,0,1 Year,1,1,Apartment,$1850,Halifax; NS B3M 4J4,Laundry (In Building),Dishwasher,Fridge / Freezer
;;;;;Storage Space;Elevator in Building;,,No,Yes,No,Yes,Limited,No,No,;Balcony;,1;382,0,1 Year,2 + Den,2,Apartment,$2695,3807 Mont Blanc Terrace; Halifax; NS; B3K 6R9,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;;;Storage Space;;,Cable / TV;Internet;,No,Yes,Yes,Yes,Limited,Yes,Outdoors only,Yard;Balcony;,1;050,2,1 Year,2,1,Apartment,Please Contact,Nova Scotia 329; Hubbards; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;;;;Bicycle Parking;Storage Space;;,,No,,,,Limited,No,No,,1;033,0,1 Year,2,2,Apartment,$2595,7037 Mumford Rd; Halifax; NS; B3L 2J1,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,Yes,No,Yes,Limited,No,No,Yard;Balcony;,Not Available,1,1 Year,3,1,Apartment,$3150,13 Edgehill Road; Halifax; NS; B3N 1G5,Laundry (In Unit),Dishwasher,Fridge / Freezer
,;Internet;,Yes,Yes,No,Yes,No,No,No,,132,0,Month-to-month,1,1,Apartment,$850,Halifax; NS B3H,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,Yes,,,,No,No,No,Yard;Balcony;,Not Available,2,1 Year,3,3.5,Townhouse,$3300,Bently Drive; Halifax; NS; B3S 0A9,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,No,No,Yes,No,No,No,,Not Available,1,1 Year,1,1,Apartment,$2275,Bishop Street; Halifax; NS; B3J 1C9,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;;;;;;Elevator in Building;,,No,No,No,Yes,Limited,Yes,No,;Balcony;,1;196,1,1 Year,2,2,Apartment,$2495,Walter Havill Drive; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;24 Hour Security;;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,No,,680,1,1 Year,1,1,Apartment,$1350,27 Evans Avenue; Halifax; NS,Laundry (In Building),Dishwasher,Fridge / Freezer
Gym;;;;Bicycle Parking;Storage Space;;,,No,,,,Limited,No,No,,564,0,1 Year,1,1,Apartment,$2125,6016 Pepperell Street; Halifax; NS; B3H 2N8,Laundry (In Unit),Dishwasher,Fridge / Freezer
